run_id,timestamp,agent,provider,model,task_type,tokens_in,tokens_out,latency_ms,success,cost_usd,error
run_001,2026-03-01T08:12:04Z,ceo_agent,github,gpt-4.1,planning,310,820,2140,true,0.0041,
run_002,2026-03-01T08:15:22Z,research_agent,github,gpt-4.1,research,540,1230,3310,true,0.0088,
run_003,2026-03-01T09:02:11Z,developer_agent,openai,gpt-4o,code_gen,780,2100,4820,true,0.0231,
run_004,2026-03-01T09:44:57Z,marketing_agent,gemini,gemini-2.5-flash-lite,content,420,960,1870,true,0.0012,
run_005,2026-03-01T10:01:33Z,support_agent,claude,claude-sonnet-4.6,qa,290,640,2050,true,0.0054,
run_006,2026-03-01T10:23:48Z,operations_agent,github,gpt-4.1,analysis,510,1100,2980,true,0.0062,
run_007,2026-03-01T11:05:09Z,developer_agent,openai,gpt-4o,code_review,920,1840,5100,true,0.0284,
run_008,2026-03-01T11:33:21Z,research_agent,gemini,gemini-2.5-flash-lite,research,380,870,1640,true,0.0009,
run_009,2026-03-01T12:00:00Z,ceo_agent,claude,claude-sonnet-4.6,planning,440,1050,2760,true,0.0091,
run_010,2026-03-01T12:18:44Z,marketing_agent,github,gpt-4.1,content,360,780,2010,true,0.0031,
run_011,2026-03-01T13:07:32Z,developer_agent,ollama,llama3,code_gen,690,1620,8940,true,0.0000,
run_012,2026-03-01T13:45:19Z,support_agent,openai,gpt-4o,qa,210,490,1820,true,0.0101,
run_013,2026-03-01T14:22:05Z,research_agent,github,gpt-4.1,research,600,1400,3540,false,0.0094,timeout
run_014,2026-03-01T15:00:00Z,ceo_agent,gemini,gemini-2.5-flash-lite,planning,390,910,1920,true,0.0011,
run_015,2026-03-01T15:30:10Z,operations_agent,ollama,llama3,analysis,730,1710,9320,true,0.0000,
run_016,2026-03-02T08:04:52Z,developer_agent,openai,gpt-4o,code_gen,850,2240,5310,true,0.0258,
run_017,2026-03-02T08:55:38Z,research_agent,claude,claude-sonnet-4.6,research,490,1120,2680,true,0.0097,
run_018,2026-03-02T09:30:15Z,marketing_agent,gemini,gemini-2.5-flash-lite,content,310,720,1590,true,0.0008,
run_019,2026-03-02T10:10:54Z,support_agent,github,gpt-4.1,qa,260,580,1980,true,0.0026,
run_020,2026-03-02T10:55:27Z,ceo_agent,openai,gpt-4o,planning,480,1160,3240,true,0.0175,
run_021,2026-03-02T11:22:09Z,developer_agent,github,gpt-4.1,code_review,770,1950,4100,true,0.0118,
run_022,2026-03-02T12:00:00Z,operations_agent,claude,claude-sonnet-4.6,analysis,560,1290,3010,true,0.0112,
run_023,2026-03-02T12:40:46Z,research_agent,ollama,llama3,research,640,1480,10200,false,0.0000,model_error
run_024,2026-03-02T13:15:33Z,marketing_agent,openai,gpt-4o,content,400,890,2870,true,0.0148,
run_025,2026-03-02T14:00:00Z,support_agent,gemini,gemini-2.5-flash-lite,qa,230,520,1430,true,0.0006,
run_026,2026-03-02T14:45:18Z,developer_agent,claude,claude-sonnet-4.6,code_gen,910,2390,5750,true,0.0206,
run_027,2026-03-02T15:20:04Z,ceo_agent,github,gpt-4.1,planning,370,860,2090,true,0.0038,
run_028,2026-03-02T16:00:00Z,research_agent,openai,gpt-4o,research,520,1190,3480,true,0.0212,
run_029,2026-03-03T08:00:00Z,marketing_agent,claude,claude-sonnet-4.6,content,430,970,2340,true,0.0084,
run_030,2026-03-03T09:10:22Z,operations_agent,gemini,gemini-2.5-flash-lite,analysis,480,1060,1780,true,0.0013,
run_031,2026-03-03T09:55:47Z,developer_agent,ollama,llama3,code_review,800,2010,9870,true,0.0000,
run_032,2026-03-03T10:30:00Z,support_agent,openai,gpt-4o,qa,275,610,2100,true,0.0115,
run_033,2026-03-03T11:05:15Z,ceo_agent,claude,claude-sonnet-4.6,planning,410,980,2610,true,0.0085,
run_034,2026-03-03T11:50:28Z,research_agent,github,gpt-4.1,research,570,1310,3200,true,0.0079,
run_035,2026-03-03T12:25:39Z,developer_agent,openai,gpt-4o,code_gen,940,2460,5930,true,0.0270,
run_036,2026-03-03T13:00:00Z,marketing_agent,ollama,llama3,content,370,850,8760,true,0.0000,
run_037,2026-03-03T13:40:17Z,operations_agent,github,gpt-4.1,analysis,540,1200,2890,true,0.0068,
run_038,2026-03-03T14:20:00Z,support_agent,gemini,gemini-2.5-flash-lite,qa,250,560,1510,true,0.0007,
run_039,2026-03-03T15:00:00Z,ceo_agent,openai,gpt-4o,planning,500,1200,3400,false,0.0185,rate_limit
run_040,2026-03-03T15:45:22Z,developer_agent,github,gpt-4.1,code_gen,810,2060,4350,true,0.0125,
